postcode_district,lat,lon
B1,52.479,-1.908
B15,52.464,-1.928
BL1,53.585,-2.435
BL3,53.567,-2.443
BS1,51.453,-2.597
CB1,52.198,0.137
CF10,51.479,-3.176
CO1,51.889,0.903
CV1,52.408,-1.51
E1,51.516,-0.06
EC1,51.524,-0.099
GL1,51.864,-2.238
LE1,52.635,-1.132
LS1,53.797,-1.546
LS6,53.819,-1.575
M1,53.479,-2.236
M14,53.443,-2.222
M20,53.413,-2.23
N1,51.538,-0.103
NE1,54.972,-1.613
NG1,52.954,-1.149
OL1,53.546,-2.116
OL9,53.537,-2.139
OX1,51.75,-1.26
RG1,51.456,-0.969
S1,53.38,-1.466
SE1,51.501,-0.091
SW1,51.497,-0.137
WN3,53.535,-2.64
WN5,53.53,-2.668
WA14,53.387,-2.349
HX7,53.742,-2.012
HX6,53.708,-1.907
WS2,52.59,-1.995
HD1,53.646,-1.785
PR1,53.759,-2.703
